X;Y;Name;link_4;species_5;DBH;Приріст фітомаси (кг/рік);Депонування вуглецю (кг С/рік);Акумулювання енергії (МДж/рік);Продукування кисню (кг/рік);Вартість вуглецю (грн/рік);Вартість енергії (грн/рік);des_3;id;Приріст фітомаси;species;Rare;Type;Diameter;Y_new
30,501016;50,383038;2284;https://lh5.googleusercontent.com/avGujAgKvgG0p-BOpi27seT6cpi1-COpfWIKwO6MNi5_2YiJ6-zWx8notFpyCsHNyZ8FmBS0yinnJD16RtUBkgMusSoCQcuqEI0FNHD-8MGEUphPcjLEsAm_v21mMaAnZAQzxA   ;   Клен веселий   ;6;1,22;0,61;21,94;0,68;0,52;1,67;Опис: Дерево до 20-25 м висотою і до 40 см в діаметрі стовбура. Пагони зелені, голі або червонуваті, іноді з сизою поволокою. Листки тонкі але щільні, голі або знизу при основі жилок мають борідки. Цінне дерево для паркових насаджень. В Україні культивується в деяких ботанічних садах та дендропарках. Росте добре, зимо- та посухостійкий. Природно поширений на Кавказі, Закавказзі, на півночі Малої Азії     ;11;1,22;Клен веселий;місцевий;листяне;тонке;50,382968
30,501062;50,383054;2285;https://lh5.googleusercontent.com/6M0VRfzxPIECB9lKW3PiLd_88XV4IUMeF0cPwf9lm3v4X5_4lncsOcl0NUuv7a89rN1TCiics0Xg_dN6WTvyzKyUSpNOpjXOo_o2U9GJPZkCxa1ghDFQZHJSwEy5lG36OE3c   ;   Клен гостролистий  ;68;8,75;24,37;871,81;5,51;20,47;66,25;Опис: Дерево до 25-30 м заввишки, з колоноподібним стовбуром, вкритим дрібнотріщинуватою темно-сірою корою, з густою розлогою кроною. Пагони буруваті, блискучі з світлими смужками і сочевичками.Клен звичайний росте в другому ярусі листяних і мішаних лісів. Тіньовитривала, досить морозостійка рослина. Цвіте у квітні — травні. Медоносна, деревинна, харчова, кормова, танідоносна, фарбувальна й декоративна рослина. Високопродуктивний весняний медонос і пилконос.Поширений майже по всій Україні. Культивують у парках і захисних насадженнях.  ;12;8,75;Клен гостролистий;місцевий;листяне;велике;50,382984
30,501138;50,38311;2286;https://lh3.googleusercontent.com/sOLAZa4d_fo8s1mJ69Ww9EDMJTzUG8Y-iv1xaJ38fg5_wd15jvb5ulePIAbAGFU_MaJZI6PoukXPO5oIWh0o3kuVm1JAGswCjE0-Ns8jRJpDuX0Cl_i5K86BkHx1oWSP8jLyHg   ;   Клокичка периста  ;;;;;;;;Опис: Кущ або невелике дерево до 5-7 м заввишки. Кора стовбура сіра, гілок - жовтої-бура, молодих пагонів - зелена. Яскраво-зелене листя, грона білих квіток, оригінальні бульбашковидні лопатеві плоди роблять чагарник декоративним з ранньої весни до пізньої осені. Реліктовий вид з диз'юнктивним ареалом. Має декоративне ценозоформуюче та протиерозійне значення. Вид уникає зімкнених лісових угруповань і росте по окраїнах лісових масивів, лісових галявин, уздовж стежок, в екотонах між лісовими та степовими або лучними угрупованнями.  ;13;;Клокичка периста;місцевий;чагарник;;50,38304
30,501299;50,383051;2287;https://lh3.googleusercontent.com/d_dy0lxr54HasCKD2JW9apSPFskEfPhO6wx8oUMUiJt3sUrCThiFNtrXBI3y7b3NE6P4youJxxPlvFKiBtDOXqxcFQEqYCEXslb-wn3e_ZI8rb6SzPCY74HshzT_ObG3ZGC4Lg   ;   Клен несправжньо-платановий   ;16;5,77;2,88;103,32;2,12;2,42;7,85;"Опис: ""Дерево до 40 м заввишки з густою кульовидною кроною. Доживає до 300 років. Листки 3-5-лопа-тні, темно-зелені зверху, сизувато-білі знизу, до 18 см довжини, жовтіють восени. Квітки медоносні. Крилатки до 6 см довжиною. Теплолюбний. В Україні достатньо морозостійкий. Тіньовитривалий. Погано витримує занадто вологі ґрунти, так само, як і посушливі. Добре витримує міські умови. Відомо багато декоративних форм з листками різного забарвлення (пістряві, червоні та ін.). Має цінну деревину. Гарний медонос. Квіти виробляють вдосталь нектару, з якого бджоли роблять ароматний, з м'яким смаком, блідого кольору мед. Явір часто фігурує у різноманітних українських піснях, казках, легендах. Явір є символом чоловіка взагалі і молодого парубка зокрема. Яворина (кущ) символізує дівчину-сиротину, і рубання її, як і рубання калини, ліщини, символізує одруження. Тесання яворів є символом пліток, брехні (така символізація властива взагалі паданню, літанню трісок від рубаного дерева: «в лісі дрова рубають, а до села тріски падають»). Природний ареал – Західна Європа, Карпати, Кавказ, Мала Азія. ""  ";14;5,77;Клен несправжньо-платановий;місцевий;листяне;середнє;50,382981
30,501346;50,383056;2288;https://lh6.googleusercontent.com/HxNGcECVar8zQ6n9Sc6Uq4QCbvRSb02qUYmoVUtPZ2nRPknev7J5OZQdPv5Baoegd29zh9Gezw2F-HLXNtIp00hjthjelnVYDgaocLrQbQvmM4c3GdYJum0N1M6k8XwwuxO_6w   ;   Клен несправжньо-платановий   ;11;3,7;1,85;66,16;1,68;1,55;5,02;"Опис: ""Дерево до 40 м заввишки з густою кульовидною кроною. Доживає до 300 років. Листки 3-5-лопа-тні, темно-зелені зверху, сизувато-білі знизу, до 18 см довжини, жовтіють восени. Квітки медоносні. Крилатки до 6 см довжиною. Теплолюбний. В Україні достатньо морозостійкий. Тіньовитривалий. Погано витримує занадто вологі ґрунти, так само, як і посушливі. Добре витримує міські умови. Відомо багато декоративних форм з листками різного забарвлення (пістряві, червоні та ін.). Має цінну деревину. Гарний медонос. Квіти виробляють вдосталь нектару, з якого бджоли роблять ароматний, з м'яким смаком, блідого кольору мед. Явір часто фігурує у різноманітних українських піснях, казках, легендах. Явір є символом чоловіка взагалі і молодого парубка зокрема. Яворина (кущ) символізує дівчину-сиротину, і рубання її, як і рубання калини, ліщини, символізує одруження. Тесання яворів є символом пліток, брехні (така символізація властива взагалі паданню, літанню трісок від рубаного дерева: «в лісі дрова рубають, а до села тріски падають»). Природний ареал – Західна Європа, Карпати, Кавказ, Мала Азія. ""  ";15;3,7;Клен несправжньо-платановий;місцевий;листяне;середнє;50,382986
30,501362;50,383071;2289;https://lh4.googleusercontent.com/Yi4C8paeaQ68eWUqziE_dYJ6V3_A9AVAXaBqotIfp4OaxJvUVomi0dAUHhXxPiPjvJSIfvVwIkoQ9MH-EtsPJC-H_tcqmzdyYlzmwmznQ-P_AI_ziMthmTjJoCtWWnvkqoJczQ   ;   Клен несправжньо-платановий   ;15;4,85;2,42;86,85;1,75;2,04;6,6;"Опис: ""Дерево до 40 м заввишки з густою кульовидною кроною. Доживає до 300 років. Листки 3-5-лопа-тні, темно-зелені зверху, сизувато-білі знизу, до 18 см довжини, жовтіють восени. Квітки медоносні. Крилатки до 6 см довжиною. Теплолюбний. В Україні достатньо морозостійкий. Тіньовитривалий. Погано витримує занадто вологі ґрунти, так само, як і посушливі. Добре витримує міські умови. Відомо багато декоративних форм з листками різного забарвлення (пістряві, червоні та ін.). Має цінну деревину. Гарний медонос. Квіти виробляють вдосталь нектару, з якого бджоли роблять ароматний, з м'яким смаком, блідого кольору мед. Явір часто фігурує у різноманітних українських піснях, казках, легендах. Явір є символом чоловіка взагалі і молодого парубка зокрема. Яворина (кущ) символізує дівчину-сиротину, і рубання її, як і рубання калини, ліщини, символізує одруження. Тесання яворів є символом пліток, брехні (така символізація властива взагалі паданню, літанню трісок від рубаного дерева: «в лісі дрова рубають, а до села тріски падають»). Природний ареал – Західна Європа, Карпати, Кавказ, Мала Азія. ""  ";16;4,85;Клен несправжньо-платановий;місцевий;листяне;середнє;50,383001
30,501323;50,38311;2290;https://lh6.googleusercontent.com/9uQXdlIPd29eebP3Hel_kFPLSt8nk4oT5w4k_ROo2N-H3evYpTHYRbHKqwr8sl8RaKPQm1uFhi3W8GmxfjyLIj8_q7S0ktV4SW9L-8DeJMCI7wSPjGLbvptd4xe_WaKd3DVogQ   ;   Клен червоний  ;18;6,17;3,08;110,29;2,04;2,59;8,38;Опис: Дерево до 40 м заввишки з тонкою темно-сірою корою, яка відщаровується. Молоді пагони голі, оливково-зелені або червонуваті. В Уккраїні культивується у ботанічних садах, дендропарках, парках. Зимо- та посухостійкий. Природно поширений у Північній Америці.    ;17;6,17;Клен червоний;екзот;листяне;середнє;50,38304
30,501326;50,383111;2291;https://lh3.googleusercontent.com/ZAOtCmbeOUbVFfuj9K9TswMowbu2HPG0RTMGG8ldxmNXLyS8qg44kh49qFQUQKKqVhEl0pDgISSUFsbWzW23TgSMdyfRMsvcNL4b_H86C-_2lJvQmYut_20ihgA2frKddSpH-A   ;   Клен червоний  ;14;4,61;2,31;82,49;1,81;1,94;6,27;Опис: Дерево до 40 м заввишки з тонкою темно-сірою корою, яка відщаровується. Молоді пагони голі, оливково-зелені або червонуваті. В Уккраїні культивується у ботанічних садах, дендропарках, парках. Зимо- та посухостійкий. Природно поширений у Північній Америці.    ;18;4,61;Клен червоний;екзот;листяне;середнє;50,383041
30,501293;50,38308;2292;https://lh5.googleusercontent.com/T1mlbxXH63FCMq2X7J1TysMCynOS212I_e7Oiiew3BUx6-7weB4AExgByA0x6-EqamC9EOF3EWvEj3aWRS6Ga1dWxUTzBIDYjX693BQ9apO8xpi_-vYq5ePASFrX8avGvmDSXxU   ;   Клен червоний  ;15;4,86;2,43;86,86;1,76;2,04;6,6;Опис: Дерево до 40 м заввишки з тонкою темно-сірою корою, яка відщаровується. Молоді пагони голі, оливково-зелені або червонуваті. В Уккраїні культивується у ботанічних садах, дендропарках, парках. Зимо- та посухостійкий. Природно поширений у Північній Америці.    ;19;4,86;Клен червоний;екзот;листяне;середнє;50,38301
30,501227;50,383084;2293;https://lh3.googleusercontent.com/8TWPGbhXa4PRg94hDD4HkLUA2YUkTZY0_JebNYNwJFGliCvvndr-YqRGheiQsfg6j1YdWAcszdaF3LVlV5qCflSWcljMSb1ERneA0UhvelURYOEkfZLhUVPI5c8vHQKChtwZ   ;   Клен червоний  ;20;6,27;3,13;112,1;1,91;2,63;8,52;Опис: Дерево до 40 м заввишки з тонкою темно-сірою корою, яка відщаровується. Молоді пагони голі, оливково-зелені або червонуваті. В Уккраїні культивується у ботанічних садах, дендропарках, парках. Зимо- та посухостійкий. Природно поширений у Північній Америці.    ;20;6,27;Клен червоний;екзот;листяне;середнє;50,383014
30,501155;50,383034;2294;https://lh5.googleusercontent.com/e-WfK2oyf5XYmbJrz3z4xSxzPX9qXmAFn_OjJqHN8g7dAfgmiZbc0m5wpfPb5QdfqlZG9kT2eWprgG9MidoiIWYc5zLAhXLPKm97ikCVju4yY4SoYHmSot1MY-rtINJE_bEo-w   ;   Свидина кров’яна  ;11;;;;;;;Опис: Чагарник заввишки 2-6 м, гілки коричнево-зелені, часто з червонуватим нальотом, восени і взимку – криваво-червоні. Яйцеподібне листя зелене з обох боків, завдовжки 5-8 см, з 3 або 4, іноді 5 парами жилок. Квітки дрібні, білі, зібрані в пухнасті густі, майже пласкі щитки. Плоди– кулясті, соковиті двонасінні кістянки з м'ясистим околоплодником, неїстівні. Стиглі мають синьо-чорний колір. Дозрівають в першій декаді серпня.Зростає в лісах, більш притаманний байрачним, але трапляється і в заплавних дібровах, берестняках і осичняках, в арену лісах. Добре росте на родючих ґрунтах, свіжих суглинках і вологих пісках.Цінний вид для озеленення. Розповсюджений від Скандинавії до південної Європи, на сході — від Балтії до Дону і Каспійського моря, включно із узбережжям Дагестану, Азербайджану, північного сходу Ірану.  ;21;;Свидина кров’яна;місцевий;чагарник;середнє;50,382964
30,501136;50,383113;2295;;   Клен каліфорнійський  ;16;5,78;2,88;103,32;2,13;2,43;7,85;Опис: Дерево схоже на клен ясенолистий. Молоді пагони густо сірувато опушені. Листки із трьох листочків, молоді опушені з обох боків, дорослі - лише знизу білувато опушені. В Україні культивується удеяких ботанічних садах та дендропарках. Росте швидко. Достатньо зимо- та посухостійкий. Природно поширений в Північній Америці (Каліфорнія).     ;22;5,78;Клен каліфорнійський;екзот;листяне;середнє;50,383043
30,501004;50,383036;2296;https://lh4.googleusercontent.com/Ap8mAW9NvbqqWq-UAonJcAVKpjOOuzsru_iT_IUD7-Hs1LeKDK5xhuley5iJnUXUvCibn3jwJxEikvkpjLjE-LwSk1ckm6VQKsyp7d8BMDEp2nsnJqAuCl-DdU69PuCSSyvD   ;   Береза повисла  ;77;8,66;9,33;333,7;0,42;7,83;25,36;Опис: Дерево 10-20 м заввишки з гладенькою білою корою, при основі стовбура кора чорно-сіра, глибокотріщинувата. Крона ажурна з повислими гілками. Молоді пагони червоно-бурі, густо вкриті смолистими бородавками. Світлолюбна, морозостійка рослина. Береза повисла росте в соснових, мішаних і листяних лісах. Зрідка утворює чисті лісостани, особливо в похідних деревостанах. Береза повисла росте природно від Західної Європи на схід до Казахстану, в Республіці Саха в Сибіру, Монголії і провінції Синьцзян в Китаї, і на південь до гір Кавказу і Північного Ірану, Іраку і Туреччини.   ;23;8,66;Береза повисла;місцевий;листяне;велике;50,382966
30,501084;50,382976;2297;https://lh5.googleusercontent.com/dlVjUd5Cuiq0icUPeV-0fvc_1AxEnCpyiGVZQWVrY6POwxwJ-mS0ONHxKGnJZYCwLgux_-Ask6siOv3RwvbDYjt1ZAsK08MtGkqq-0Wz6xBvVEQLwtDNrXV2XceT4Za6qkoc   ;   Клен сірий  ;4;0,43;0,21;7,71;0,29;0,18;0,58;Опис: Дерево до 13 м висотою, з коричнево-бурою корою, що відшаровується паперовими клаптями.Молоді пагони шовковисто опушені, швидко оголюються. В Україні в культурі у ботанічних садах Києва та Донецька. Росте задовільно. Річні пагони частково підмерзають. Достатньо посухостійкий. Пририродно поширений у Центральному Китаї.     ;24;0,43;Клен сірий;екзот;листяне;тонке;50,382906
30,501112;50,382974;2298;https://lh4.googleusercontent.com/GScuEtFzXmD3VDD9yayq5FuWKd1Q0v55O5y41wj0LwDALTn5IHAaqmFdkp-Spoph2unc1RiDKpRceC1hVx5myz9-jz897MfXVOQDRbbt8ftwhTDslU_SiieUSxKHjxQxjpb7TA   ;   Клен сірий  ;6;0,97;0,48;17,44;0,29;0,18;1,32;Опис: Дерево до 13 м висотою, з коричнево-бурою корою, що відшаровується паперовими клаптями.Молоді пагони шовковисто опушені, швидко оголюються. В Україні в культурі у ботанічних садах Києва та Донецька. Росте задовільно. Річні пагони частково підмерзають. Достатньо посухостійкий. Пририродно поширений у Центральному Китаї.     ;25;0,97;Клен сірий;екзот;листяне;тонке;50,382904
30,501153;50,382946;2299;https://lh6.googleusercontent.com/9z63vUqEmaYou1xXensx7L3Rr_kWlLSSOG_RzW6eCkJX7dvp-Py33NRtCtr3QJiMBrGIXW5zdpV8i1Wgv2iajonCo6ySUZB3qlWS0-FY4eCm26avZBojZDsgrpR5taEnxcL2rQ   ;   Клен веселий   ;56;1,85;15,92;569,44;4,26;13,38;43,28;Опис: Дерево до 20-25 м висотою і до 40 см в діаметрі стовбура. Пагони зелені, голі або червонуваті, іноді з сизою поволокою. Листки тонкі але щільні, голі або знизу при основі жилок мають борідки. Цінне дерево для паркових насаджень. В Україні культивується в деяких ботанічних садах та дендропарках. Росте добре, зимо- та посухостійкий. Природно поширений на Кавказі, Закавказзі, на півночі Малої Азії     ;26;1,85;Клен веселий;місцевий;листяне;велике;50,382876
30,501175;50,382888;2300;;   Клен дрібнолистий  ;8;2,49;1,25;44,67;1,2;1,05;3,39;Опис: Дерево висотою 15-20 м з густою низько розташованою кроною..Молоді пагонипухнасті, іноді голі, жовтуваті або сірі. Має низку цінних декоративних якостей. В Україні культивується у багатьох ботанічних садах. Природно зростає в Японії, Кореї, Китаї, Монголії, на Далекому Сході Росії та на Сахаліні.  ;27;2,49;Клен дрібнолистий;екзот;листяне;тонке;50,382818
30,501118;50,382882;2301;https://lh5.googleusercontent.com/P3rhID8v1tVPNRDPq_8D30SetZxBLNMSJ_95GSVsCAhm979ycdRYsoCNm9vyylfOxmw6FlQA4obHYMxIYB3iX8O1nSNPTpPuNzd3e6ko-wvvcyD5U0WZBgOpbsH3APDJVl0fzo4   ;   Клен татарський  ;15;4,45;2,45;87,88;2,03;2,06;;"Опис: Дерево або кущ заввишки 3-5 м, зрідка може сягати висоти 12-15 м. Старе гілля вкрите сірою (іноді майже чорною) корою з еліптичними або круглими сочевичками; спочатку вона борозенчаста, згодом стає тріскуватою. Молоді пагони тонкі, червонуваті. Бруньки дрібні, широкі, по краям опушені, коричневі. Відомий також під народними назвами неклен, чорноклен, в'язина. Типовий компонент лісостепових біоценозів. Медоносна й декоративна культура.  ";28;4,45;Клен татарський;місцевий;листяне;середнє;50,382812
30,501013;50,382913;2302;https://lh6.googleusercontent.com/v-wgJY_Klha-mbyeWfGJjrM9n9lcpcGRJmgs3p3wsVUU78ECCzFCJ-domdGRpZ9rGx_a80JwGKWIlQba8NTkigtIkf6Lz5I_W5MQKNcW7rZUqmVHTVN7331tyXeXCqgQp1tlVA   ;   Клен татарський  ;7;1,5;0,75;26,91;0,9;0,63;2,04;"Опис: Дерево або кущ заввишки 3-5 м, зрідка може сягати висоти 12-15 м. Старе гілля вкрите сірою (іноді майже чорною) корою з еліптичними або круглими сочевичками; спочатку вона борозенчаста, згодом стає тріскуватою. Молоді пагони тонкі, червонуваті. Бруньки дрібні, широкі, по краям опушені, коричневі. Відомий також під народними назвами неклен, чорноклен, в'язина. Типовий компонент лісостепових біоценозів. Медоносна й декоративна культура.  ";29;1,5;Клен татарський;місцевий;листяне;тонке;50,382843
30,501035;50,382898;2303;https://lh5.googleusercontent.com/RwklVpUP-uY2Uay4yNEHTGaA-RiAqtjJBbg74lm_GPM7-oAJjTykwEID6B-339b79nxsNNhVKLs6fhWjxbcRFfNmmUyB2alfC_m6WjDC72qVGuXdHdW1ozOYW3nFUkhyX3Lq   ;   Клен татарський  ;8;2,04;1,02;36,59;1,17;0,85;2,78;"Опис: Дерево або кущ заввишки 3-5 м, зрідка може сягати висоти 12-15 м. Старе гілля вкрите сірою (іноді майже чорною) корою з еліптичними або круглими сочевичками; спочатку вона борозенчаста, згодом стає тріскуватою. Молоді пагони тонкі, червонуваті. Бруньки дрібні, широкі, по краям опушені, коричневі. Відомий також під народними назвами неклен, чорноклен, в'язина. Типовий компонент лісостепових біоценозів. Медоносна й декоративна культура.  ";30;2,04;Клен татарський;місцевий;листяне;тонке;50,382828
